"OBJECTID","x","y"
501,99.790000,36.932000
502,99.791000,36.932000
503,99.791000,36.932000
504,99.791000,36.932000
505,99.791000,36.932000
506,99.791000,36.932000
507,99.791000,36.932000
508,99.785000,36.933000
509,99.786000,36.933000
510,99.786000,36.933000
511,99.787000,36.933000
512,99.787000,36.933000
513,99.788000,36.933000
514,99.626000,36.934000
515,99.785000,36.934000
516,99.627000,36.935000
517,99.782000,36.935000
518,99.784000,36.935000
519,99.784000,36.935000
520,99.785000,36.935000
521,99.785000,36.935000
522,99.786000,36.935000
523,99.789000,36.935000
524,99.789000,36.935000
525,99.790000,36.935000
526,99.790000,36.935000
527,99.791000,36.935000
528,99.795000,36.935000
529,99.780000,36.936000
530,99.782000,36.936000
531,99.785000,36.936000
532,99.785000,36.936000
533,99.786000,36.936000
534,99.786000,36.936000
535,99.787000,36.936000
536,99.781000,36.937000
537,99.785000,36.937000
538,99.788000,36.937000
539,99.793000,36.939000
540,99.759000,36.940000
541,99.761000,36.940000
542,99.795000,36.941000
543,99.635000,36.942000
544,99.794000,36.942000
545,99.783000,36.943000
546,99.796000,36.943000
547,99.796000,36.943000
548,99.645000,36.945000
549,99.564000,36.947000
550,99.564000,36.947000
551,99.564000,36.947000
552,99.564000,36.947000
553,99.564000,36.947000
554,99.564000,36.947000
555,99.843000,36.949000
556,99.843000,36.949000
557,99.843000,36.949000
558,99.843000,36.949000
559,99.837000,36.951000
560,99.837000,36.951000
561,99.837000,36.951000
562,99.663000,36.953000
563,99.885000,36.953000
564,99.885000,36.953000
565,99.885000,36.953000
566,99.846000,36.954000
567,99.666000,36.956000
568,99.835000,36.956000
569,99.666000,36.957000
570,99.667000,36.957000
571,99.876000,36.957000
572,99.669000,36.959000
573,99.833000,36.959000
574,99.669000,36.960000
575,99.853000,36.962000
576,99.671000,36.963000
577,99.838000,36.963000
578,99.839000,36.963000
579,99.839000,36.963000
580,99.839000,36.963000
581,99.838000,36.964000
582,99.839000,36.964000
583,99.843000,36.964000
584,99.695000,36.965000
585,99.792000,36.965000
586,99.841000,36.965000
587,99.841000,36.965000
588,99.841000,36.965000
589,99.841000,36.965000
590,99.841000,36.965000
591,99.841000,36.965000
592,99.841000,36.965000
593,99.841000,36.965000
594,99.841000,36.965000
595,99.841000,36.965000
596,99.841000,36.965000
597,99.841000,36.965000
598,99.841000,36.965000
599,99.841000,36.965000
600,99.841000,36.965000
601,99.841000,36.965000
602,99.841000,36.965000
603,99.841000,36.965000
604,99.841000,36.965000
605,99.841000,36.965000
606,99.841000,36.965000
607,99.841000,36.965000
608,99.841000,36.965000
609,99.841000,36.965000
610,99.841000,36.965000
611,99.841000,36.965000
612,99.841000,36.965000
613,99.841000,36.965000
614,99.841000,36.965000
615,99.841000,36.965000
616,99.841000,36.965000
617,99.841000,36.965000
618,99.841000,36.965000
619,99.841000,36.965000
620,99.841000,36.965000
621,99.841000,36.965000
622,99.841000,36.965000
623,99.841000,36.965000
624,99.841000,36.965000
625,99.841000,36.965000
626,99.841000,36.965000
627,99.842000,36.965000
628,99.842000,36.965000
629,99.842000,36.965000
630,99.842000,36.965000
631,99.842000,36.965000
632,99.842000,36.965000
633,99.842000,36.965000
634,99.842000,36.965000
635,99.842000,36.965000
636,99.842000,36.965000
637,99.842000,36.965000
638,99.842000,36.965000
639,99.842000,36.965000
640,99.842000,36.965000
641,99.842000,36.965000
642,99.842000,36.965000
643,99.842000,36.965000
644,99.842000,36.965000
645,99.842000,36.965000
646,99.842000,36.965000
647,99.842000,36.965000
648,99.842000,36.965000
649,99.842000,36.965000
650,99.842000,36.965000
651,99.842000,36.965000
652,99.842000,36.965000
653,99.842000,36.965000
654,99.842000,36.965000
655,99.842000,36.965000
656,99.842000,36.965000
657,99.842000,36.965000
658,99.842000,36.965000
659,99.842000,36.965000
660,99.842000,36.965000
661,99.842000,36.965000
662,99.842000,36.965000
663,99.842000,36.965000
664,99.842000,36.965000
665,99.842000,36.965000
666,99.842000,36.965000
667,99.842000,36.965000
668,99.842000,36.965000
669,99.841000,36.966000
670,99.841000,36.966000
671,99.841000,36.966000
672,99.841000,36.966000
673,99.841000,36.966000
674,99.843000,36.966000
675,99.658000,36.967000
676,99.822000,36.967000
677,99.840000,36.967000
678,99.841000,36.967000
679,99.841000,36.967000
680,99.841000,36.967000
681,99.841000,36.967000
682,99.841000,36.967000
683,99.674000,36.968000
684,99.840000,36.968000
685,99.840000,36.968000
686,99.840000,36.968000
687,99.840000,36.968000
688,99.841000,36.968000
689,99.843000,36.968000
690,99.844000,36.968000
691,99.844000,36.968000
692,99.844000,36.968000
693,99.844000,36.968000
694,99.853000,36.968000
695,99.844000,36.969000
696,99.844000,36.969000
697,99.844000,36.969000
698,99.844000,36.969000
699,99.845000,36.969000
700,99.840000,36.970000
701,99.846000,36.970000
702,99.846000,36.970000
703,99.842000,36.971000
704,99.842000,36.971000
705,99.846000,36.971000
706,99.849000,36.971000
707,99.837000,36.972000
708,99.839000,36.972000
709,99.849000,36.972000
710,99.850000,36.972000
711,99.850000,36.972000
712,99.850000,36.972000
713,99.850000,36.972000
714,99.850000,36.972000
715,99.850000,36.972000
716,99.851000,36.972000
717,99.851000,36.972000
718,99.851000,36.972000
719,99.851000,36.972000
720,99.851000,36.972000
721,99.851000,36.972000
722,99.852000,36.973000
723,99.853000,36.973000
724,99.853000,36.973000
725,99.853000,36.973000
726,99.854000,36.973000
727,99.854000,36.973000
728,99.854000,36.973000
729,99.854000,36.973000
730,99.854000,36.973000
731,99.854000,36.973000
732,99.854000,36.973000
733,99.854000,36.973000
734,99.854000,36.973000
735,99.854000,36.973000
736,99.854000,36.973000
737,99.854000,36.973000
738,99.854000,36.973000
739,99.855000,36.974000
740,99.855000,36.974000
741,99.855000,36.974000
742,99.876000,36.974000
743,99.886000,36.974000
744,99.886000,36.974000
745,99.841000,36.975000
746,99.841000,36.975000
747,99.841000,36.975000
748,99.841000,36.975000
749,99.841000,36.975000
750,99.841000,36.975000
751,99.874000,36.975000
752,99.874000,36.975000
753,99.874000,36.975000
754,99.860000,36.976000
755,99.860000,36.976000
756,99.860000,36.976000
757,99.861000,36.976000
758,99.861000,36.976000
759,99.861000,36.976000
760,99.865000,36.976000
761,99.873000,36.976000
762,99.873000,36.976000
763,99.874000,36.976000
764,99.874000,36.976000
765,99.874000,36.976000
766,99.874000,36.976000
767,99.877000,36.976000
768,99.877000,36.976000
769,99.877000,36.976000
770,99.877000,36.976000
771,99.663000,36.977000
772,99.862000,36.977000
773,99.862000,36.977000
774,99.862000,36.977000
775,99.862000,36.977000
776,99.874000,36.977000
777,99.874000,36.977000
778,99.876000,36.977000
779,99.873000,36.978000
780,99.864000,36.979000
781,99.781000,36.982000
782,99.878000,36.984000
783,99.877000,36.988000
784,99.792000,36.997000
785,99.732000,37.001000
786,99.841000,37.009000
787,99.841000,37.009000
788,99.841000,37.009000
789,99.875000,37.015000
790,99.758000,37.038000
791,99.633000,37.058000
792,99.633000,37.058000
793,99.637000,37.067000
794,99.593000,37.070000
795,99.654000,37.074000
796,99.742000,37.075000
797,99.817000,37.079000
798,99.771000,37.082000
799,99.689000,37.084000
800,99.809000,37.091000
801,99.651000,37.094000
802,99.718000,37.095000
803,99.722000,37.098000
804,99.689000,37.099000
805,99.779000,37.100000
806,99.819000,37.100000
807,99.659000,37.101000
808,99.776000,37.102000
809,99.814000,37.103000
810,99.752000,37.104000
811,99.756000,37.104000
812,99.771000,37.104000
813,99.771000,37.104000
814,99.771000,37.104000
815,99.737000,37.106000
816,99.749000,37.106000
817,99.766000,37.106000
818,99.622000,37.107000
819,99.789000,37.109000
820,99.794000,37.110000
821,99.770000,37.111000
822,99.762000,37.112000
823,99.796000,37.112000
824,99.737000,37.113000
825,99.740000,37.113000
826,99.746000,37.115000
827,99.742000,37.116000
828,99.756000,37.116000
829,99.694000,37.117000
830,99.728000,37.117000
831,99.781000,37.117000
832,99.740000,37.118000
833,99.759000,37.118000
834,99.772000,37.118000
835,99.756000,37.119000
836,99.760000,37.119000
837,99.774000,37.119000
838,99.777000,37.119000
839,99.734000,37.120000
840,99.756000,37.120000
841,99.756000,37.120000
842,99.756000,37.120000
843,99.757000,37.120000
844,99.757000,37.120000
845,99.758000,37.120000
846,99.760000,37.120000
847,99.760000,37.120000
848,99.760000,37.120000
849,99.760000,37.120000
850,99.710000,37.121000
851,99.733000,37.121000
852,99.733000,37.121000
853,99.733000,37.121000
854,99.733000,37.121000
855,99.733000,37.121000
856,99.733000,37.121000
857,99.734000,37.121000
858,99.736000,37.121000
859,99.756000,37.121000
860,99.756000,37.121000
861,99.756000,37.121000
862,99.756000,37.121000
863,99.757000,37.121000
864,99.758000,37.121000
865,99.758000,37.121000
866,99.758000,37.121000
867,99.758000,37.121000
868,99.758000,37.121000
869,99.758000,37.121000
870,99.758000,37.121000
871,99.758000,37.121000
872,99.759000,37.121000
873,99.759000,37.121000
874,99.759000,37.121000
875,99.759000,37.121000
876,99.759000,37.121000
877,99.759000,37.121000
878,99.759000,37.121000
879,99.759000,37.121000
880,99.759000,37.121000
881,99.760000,37.121000
882,99.760000,37.121000
