"FID_","x","y"
,99.743000,36.712000
,99.759000,36.737000
,99.802000,36.729000
,99.800000,36.734000
,99.804000,36.732000
,99.802000,36.731000
,99.790000,36.736000
,99.793000,36.735000
,99.776000,36.720000
,99.800000,36.733000
,99.802000,36.733000
,99.804000,36.730000
,99.832000,36.699000
,99.720000,37.132000
,99.725000,37.134000
,99.746000,37.115000
,99.721000,37.131000
,99.728000,37.135000
,99.723000,37.130000
,99.726000,37.129000
,99.606000,37.122000
,99.725000,37.130000
,99.742000,37.075000
,99.673000,37.168000
,99.725000,37.133000
,99.714000,37.123000
,99.735000,37.138000
,99.730000,37.131000
,99.731000,37.130000
,99.654000,37.155000
,99.632000,37.219000
,99.603000,37.179000
,99.736000,37.133000
,99.734000,37.133000
,99.737000,37.129000
,99.732000,37.129000
,99.766000,37.106000
,99.764000,37.141000
,99.622000,37.107000
,99.637000,37.067000
,99.732000,37.134000
,99.730000,37.125000
,99.737000,37.133000
,99.735000,37.133000
,99.740000,37.113000
,99.748000,37.133000
,99.735000,37.130000
,99.736000,37.129000
,99.760000,37.141000
,99.727000,37.135000
,99.770000,37.111000
,99.873000,36.978000
,99.671000,36.963000
,99.658000,36.967000
,99.728000,37.136000
,99.722000,37.098000
,99.733000,37.133000
,99.772000,37.136000
,99.745000,37.130000
,99.735000,37.134000
,99.737000,37.132000
,99.736000,37.132000
,99.736000,37.131000
,99.734000,37.134000
,99.735000,37.129000
,99.736000,37.130000
,99.737000,37.131000
,99.656000,37.140000
,99.727000,37.133000
,99.734000,37.125000
,99.734000,37.126000
,99.752000,37.104000
,99.719000,37.130000
,99.734000,37.122000
,99.737000,37.128000
,99.841000,36.967000
,99.621000,36.931000
,99.835000,36.956000
,99.645000,36.945000
,99.876000,36.977000
,99.635000,36.942000
,100.149000,36.632000
,100.150000,36.632000
,100.045000,36.639000
,100.133000,36.634000
,100.086000,36.616000
,100.142000,36.433000
,100.132000,36.634000
,100.182000,36.432000
,100.129000,36.633000
,100.130000,36.634000
,100.124000,36.639000
,100.125000,36.633000
,100.108000,36.637000
,99.960000,36.659000
,100.102000,36.634000
,100.107000,36.636000
,100.093000,36.631000
,100.089000,36.643000
,100.091000,36.642000
,100.062000,36.649000
,100.037000,36.654000
,100.058000,36.650000
,100.087000,36.612000
,100.160000,36.634000
,100.123000,36.633000
,100.122000,36.633000
,100.103000,36.634000
,100.098000,36.640000
,100.118000,36.608000
,100.093000,36.597000
,100.098000,36.639000
,100.017000,36.631000
,100.156000,36.634000
,99.960000,36.671000
,100.112000,36.626000
,99.960000,36.670000
,99.959000,36.670000
,100.160000,36.631000
,100.119000,36.651000
,100.124000,36.633000
,100.125000,36.632000
,100.388000,36.648000
,100.387000,36.649000
