x,y
99.838,36.748
99.797,36.733
99.798,36.732
99.797,36.733
99.795,36.741
99.795,36.935
99.874,36.976
99.781,36.937
99.759,36.94
99.782,36.935
99.761,36.94
99.704,36.909
99.783,36.929
99.786,36.936
99.784,36.935
99.874,36.976
99.785,36.934
99.796,36.734
99.799,36.733
99.796,36.734
99.789,36.935
99.789,36.932
99.786,36.936
99.785,36.935
99.789,36.932
99.787,36.936
99.791,36.932
99.792,36.91
99.784,36.935
99.791,36.932
99.791,36.932
99.785,36.933
99.786,36.935
99.789,36.935
99.788,36.937
99.789,36.932
99.79,36.932
99.786,36.933
99.791,36.935
99.79,36.935
99.79,36.935
99.796,36.737
99.798,36.732
99.788,36.928
99.799,36.732
99.796,36.943
99.795,36.941
99.785,36.936
99.793,36.939
99.791,36.932
99.79,36.932
99.791,36.932
99.791,36.932
99.79,36.932
99.789,36.932
99.789,36.932
99.794,36.942
99.802,36.732
99.788,36.933
99.785,36.935
99.78,36.936
99.796,36.943
99.787,36.933
99.791,36.93
99.801,36.732
