x,y
93.719,31.41
91.382,29.861
91.413,29.827
91.161,30.108
91.398,29.849
91.4,29.838
91.401,29.845
91.409,29.873
91.402,29.846
91.397,29.843
86.606,29.954
91.445,29.859
91.395,29.845
91.397,29.835
92.232,30.083
91.354,29.777
91.526,29.857
91.383,29.852
91.418,29.832
91.383,29.85
91.38,29.85
91.369,29.871
91.391,29.83
91.407,29.837
91.418,29.83
91.411,29.842
91.393,29.845
91.384,29.852
91.383,29.851
91.412,29.849
91.423,29.827
91.393,29.858
91.405,29.853
91.394,29.852
92.18,29.42
91.15,30.233
91.416,29.83
91.404,29.835
91.416,29.834
91.397,29.832
91.398,29.841
91.413,29.824
91.415,29.829
91.394,29.82
91.546,30.075
91.417,29.836
91.38,29.86
91.413,29.838
91.404,29.843
91.393,29.851
91.39,29.84
91.432,29.825
91.358,29.854
91.391,29.852
91.366,29.84
91.431,29.839
91.402,29.827
90.811,29.838
91.398,29.834
91.402,29.859
91.409,29.844
91.408,29.834
91.47,29.754
91.7,29.762
91.401,29.831
91.399,29.842
91.395,29.841
91.399,29.832
91.394,29.842
92.423,29.629
91.469,29.902
91.396,29.839
91.397,29.833
91.435,29.829
91.411,29.841
91.391,29.85
91.268,29.65
91.398,29.846
91.408,29.852
91.398,29.845
91.39,29.838
91.412,29.836
91.39,29.853
91.407,29.834
91.409,29.842
91.41,29.843
91.364,29.858
91.408,29.841
91.443,29.82
91.39,29.843
91.382,29.833
91.405,29.839
91.378,29.853
91.357,29.826
91.404,29.836
91.394,29.841
91.423,29.833
91.422,29.832
91.402,29.834
91.403,29.829
91.406,29.83
90.713,30.043
91.408,29.826
91.413,29.834
90.54,29.346
91.487,29.816
91.421,29.828
91.42,29.829
91.429,29.829
91.432,29.839
91.204,29.766
91.417,29.833
91.424,29.833
91.402,29.826
91.486,29.808
91.334,29.866
91.389,29.837
91.436,29.501
91.51,29.862
91.405,29.833
91.414,29.834
91.414,29.833
91.416,29.837
91.409,29.837
91.424,29.863
91.382,29.844
91.379,29.849
91.358,29.832
91.421,29.829
91.426,29.832
91.403,29.836
91.408,29.831
91.43,29.871
91.37,29.821
91.422,29.823
91.637,29.966
91.632,29.805
91.419,29.832
91.005,29.727
90.794,29.499
91.416,29.833
91.386,29.858
91.418,29.834
91.503,29.845
91.421,29.833
91.478,29.881
91.413,29.835
91.428,29.821
91.371,29.855
91.41,29.858
91.425,29.833
91.376,29.844
91.42,29.833
91.412,29.839
91.421,29.834
91.423,29.832
91.423,29.831
91.372,29.794
91.425,29.832
91.408,29.789
91.39,29.848
91.745,29.901
96.317,65.448
91.422,29.833
93.45,29.335
91.378,29.846
90.294,29.756
91.39,29.831
91.393,29.844
91.4,29.833
91.406,29.824
91.309,29.564
91.412,29.853
88.512,30.539
91.406,29.823
91.378,29.806
91.4,29.829
91.399,29.829
91.533,29.593
91.399,29.838
91.269,29.899
91.388,29.846
91.379,29.85
91.407,29.847
91.377,29.851
91.401,29.83
91.398,29.847
91.368,29.843
92.064,30.178
90.589,29.988
91.413,29.829
91.412,29.829
91.711,29.966
92.965,30.165
91.407,29.826
91.438,29.832
91.042,29.925
91.411,29.831
91.393,29.843
91.407,29.839
91.412,29.83
91.413,29.83
91.408,29.842
91.412,29.832
91.408,29.835
91.061,29.816
91.397,29.853
91.4,29.827
91.409,29.832
91.395,29.852
91.413,29.825
91.285,29.836
91.41,29.824
91.535,29.908
91.424,29.834
91.41,29.831
91.515,30.143
91.305,29.806
91.419,29.829
91.414,29.83
91.413,29.831
91.41,29.842
91.405,29.838
91.414,29.831
91.377,29.866
91.026,29.946
91.415,29.833
91.405,29.826
91.369,29.792
91.409,29.83
91.394,29.829
91.408,29.836
91.411,29.83
91.406,29.831
91.407,29.822
91.411,29.829
91.407,29.824
91.407,29.825
91.44,29.819
91.439,29.818
91.408,29.824
91.399,29.83
91.404,29.824
91.444,29.819
91.378,29.802
