x,y
99.957,37.224
99.962,37.207
99.956,37.224
99.849,37.202
99.955,37.223
100.403,37.288
99.957,37.23
100.097,37.239
99.942,37.222
99.965,37.228
99.922,37.236
99.91,37.265
100.029,37.253
99.899,37.23
99.95,37.224
100.085,37.161
99.956,37.222
99.936,37.218
100.01,37.228
99.957,37.225
99.95,37.221
99.936,37.217
99.948,37.236
99.904,37.214
99.955,37.225
99.947,37.234
99.956,37.234
100.031,37.374
99.871,37.211
100.258,37.204
99.949,37.22
99.968,37.215
99.88,37.212
100.123,37.565
99.758,37.14
99.134,37.005
99.898,37.61
98.981,36.93
99.758,37.167
99.746,37.195
99.862,37.213
99.867,37.214
99.865,37.217
100.032,37.198
99.874,37.213
99.941,37.195
100.276,37.243
99.658,37.188
99.865,37.136
99.868,37.212
99.867,37.213
99.87,37.212
99.865,37.213
99.868,37.213
99.875,37.214
99.874,37.214
99.87,37.213
99.864,37.208
99.879,37.211
99.874,37.208
99.904,37.26
99.795,37.222
99.727,37.169
99.862,37.212
99.81,37.194
99.859,37.208
99.855,37.189
99.868,37.214
100.083,37.201
100.41,37.104
99.871,37.213
99.868,37.211
99.869,37.213
99.83,37.242
99.865,37.211
100.825,37.409
100.235,37.113
99.917,37.233
99.335,37.198
99.885,37.213
99.622,37.206
99.757,37.131
99.818,37.2
99.761,37.123
99.648,37.066
99.756,37.121
99.724,36.994
99.871,37.212
99.257,37.242
99.866,37.213
99.872,37.212
99.873,37.211
99.888,37.207
99.879,37.212
99.884,37.213
99.872,37.211
99.865,37.215
100.451,36.406
99.891,37.206
99.887,37.226
99.889,37.128
99.861,37.215
99.934,37.226
99.942,37.191
99.884,37.212
99.876,37.211
99.883,37.213
100.451,37.352
99.873,37.198
99.887,37.214
99.886,37.214
99.819,37.202
99.871,37.208
99.875,37.211
99.881,37.213
99.886,37.216
100.536,36.977
99.875,37.212
99.857,37.218
99.65,36.945
99.652,36.947
99.621,36.93
99.796,36.742
99.735,37.124
99.725,37.127
99.73,37.122
98.864,36.87
99.486,37.156
99.567,37.089
99.734,37.125
99.73,37.127
99.733,37.128
99.732,37.128
99.601,37.235
99.579,37.029
99.733,37.13
99.735,37.129
99.732,37.13
99.734,37.13
99.733,37.126
99.734,37.134
100.093,37.218
100.091,37.219
99.94,37.159
100.193,37.204
100.169,37.165
100.156,37.193
100.164,37.194
100.235,37.18
100.231,37.181
100.226,37.179
100.118,37.191
100.365,37.218
100.389,37.186
100.285,37.198
100.289,37.211
100.287,37.198
100.29,37.208
100.25,37.125
100.576,37.256
100.299,37.214
100.258,37.194
100.397,37.228
100.291,37.208
100.29,37.206
100.211,37.163
100.36,37.227
100.289,37.197
100.165,37.195
99.457,37.132
99.964,37.214
99.889,37.207
99.571,37.148
99.796,36.742
99.743,37.141
99.733,37.127
99.696,37.115
99.733,37.126
99.734,37.125
99.675,37.116
99.875,37.176
99.261,37.244
99.243,37.248
99.233,37.331
99.261,37.245
99.269,37.272
99.262,37.276
99.264,37.275
99.746,37.498
